Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Jordan,JOR,..,..,2.467146276,3.850253676,4.54370666,4.406556917,4.284134376,4.514587219,4.687432543,4.164044131,5.838824108,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Kazakhstan,KAZ,..,..,2.166582928,3.667177521,5.4619249,7.413344193,10.06256391,11.91455706,12.93439983,13.72056451,13.68114134,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Kenya,KEN,..,..,0.008464593,0.045700242,0.016783513,0.128828734,0.125869245,0.167165344,0.223538938,0.28900748,0.329190577,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Kiribati,KIR,..,..,0.722330015,0.794623567,0.865535128,0.856423174,0.793761038,0.683921017,0.481037502,0.110842689,0.074633828,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Korea, Rep.",KOR,..,8.417213659,32.32836279,33.94286624,35.48581435,36.64796736,37.24828904,38.03590701,38.77630457,40.24989913,41.13130234,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Kuwait,KWT,..,..,1.480263827,1.578890861,1.537649002,1.504141991,1.445933175,1.395249975,1.379559696,1.534855594,2.755303804,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Kyrgyz Republic,KGZ,..,..,0.366191969,0.329615982,0.432171658,0.72250551,0.99765939,2.455138739,3.034765241,3.705999567,4.076121046,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Lao PDR,LAO,..,..,0.047172831,0.068873996,0.092014761,0.100378543,0.114026441,0.133314091,0.16371975,0.524798095,0.341803749,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Latvia,LVA,..,0.011975639,19.27307182,21.52658406,20.80229838,22.06160457,23.10883952,24.19138114,24.74142759,24.78648551,25.63563642,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Lebanon,LBN,..,..,2.388865213,4.63865141,7.626859786,8.984358339,10.2469745,9.954435645,22.79819989,25.39282701,25.61726272,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Lesotho,LSO,..,..,0.007098675,0.020101785,0.019911186,0.065976321,0.079744778,0.10966683,0.071608683,0.097258829,0.104104568,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Liberia,LBR,..,..,0.00299506,0.003925222,0.004699355,0.001544232,0.012504668,0.11830249,0.136460616,0.155436767,0.173361979,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Libya,LBY,..,..,0.786856123,1.056280468,1.205175899,1.146933109,1.093486961,1.043292444,1.004245335,0.965636022,2.641496039,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Liechtenstein,LIE,..,..,43.70187173,44.5817411,42.22037652,37.36121798,39.32780445,40.6662153,41.96913481,41.89957556,42.40882103,..
